dataset,model,model_id,endpoint,CN_BalAcc,n_animals,n_sessions,source_status,source_manifest,aggregation_protocol_hash
CRCNS pvc-11,GRU-D,GRU_LIGHTWEIGHT,J30-5,0.010380952380952367,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,GRU-D,GRU_LIGHTWEIGHT,Five-Missing Mean,0.0690285714285714,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,GRU-D,GRU_LIGHTWEIGHT,Five-Missing Worst,0.005095238095238088,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,MM-RVD,MM_RVD_A9_SELECTED_R6,CLEAN,0.9904761904761902,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,MM-RVD,MM_RVD_A9_SELECTED_R6,U30,0.9754761904761904,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,MM-RVD,MM_RVD_A9_SELECTED_R6,SW-U30,0.9754761904761904,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,MM-RVD,MM_RVD_A9_SELECTED_R6,T5,0.9769047619047617,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,MM-RVD,MM_RVD_A9_SELECTED_R6,B5,0.969047619047619,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,MM-RVD,MM_RVD_A9_SELECTED_R6,J30-5,0.9616666666666666,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,MM-RVD,MM_RVD_A9_SELECTED_R6,Five-Missing Mean,0.9717142857142856,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,MM-RVD,MM_RVD_A9_SELECTED_R6,Five-Missing Worst,0.9616666666666666,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,SVD,SVD64_LOGREG,CLEAN,0.9666666666666667,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
