dataset,animal_id,endpoint,baseline,MMRVD_value,baseline_value,paired_difference
Allen VBN,531237,Five-Missing Worst,TCN,0.9975956306786893,0.288698992731154,0.7088966379475352
Allen VBN,544837,Five-Missing Worst,TCN,0.9989257931471295,0.7776170330193828,0.2213087601277467
Allen VBN,546507,Five-Missing Worst,TCN,0.9982916887277842,0.5014633219295638,0.4968283667982204
Allen VBN,563497,Five-Missing Worst,TCN,0.9944543159925402,0.7262436283645817,0.2682106876279585
Allen VBN,567286,Five-Missing Worst,TCN,0.9914331245177144,0.7914141812168454,0.200018943300869
Allen VBN,570301,Five-Missing Worst,TCN,0.9784703397979004,0.5044928683313679,0.4739774714665326
Allen VBN,506940,CLEAN,Transformer,0.9993131868131868,0.9851822590444131,0.014130927768773671
Allen VBN,510589,CLEAN,Transformer,0.999370673379484,0.9988071206189808,0.0005635527605032387
Allen VBN,521466,CLEAN,Transformer,1.0,0.9954291565319113,0.00457084346808867
Allen VBN,524760,CLEAN,Transformer,1.0,0.9976316566063044,0.0023683433936956266
Allen VBN,524761,CLEAN,Transformer,0.9940547691411913,0.9877993704409304,0.006255398700260928
Allen VBN,527749,CLEAN,Transformer,0.99937343358396,0.9972557494273001,0.002117684156659916
Allen VBN,531237,CLEAN,Transformer,0.9986983336298404,0.9842357174335294,0.014462616196310951
Allen VBN,544837,CLEAN,Transformer,1.0,0.9994043666790449,0.0005956333209551357
Allen VBN,546507,CLEAN,Transformer,0.9992748368382884,0.9978475717440839,0.001427265094204544
Allen VBN,563497,CLEAN,Transformer,0.9994206163997745,0.9990262696328553,0.0003943467669191847
Allen VBN,567286,CLEAN,Transformer,0.998834839707908,0.9989822759896443,-0.00014743628173630174
Allen VBN,570301,CLEAN,Transformer,0.9973451178808322,0.994176845883381,0.0031682719974512885
Allen VBN,506940,U30,Transformer,0.999327704108006,0.9602857425315736,0.03904196157643236
Allen VBN,510589,U30,Transformer,0.9991466844761818,0.9916816772464745,0.007465007229707332
Allen VBN,521466,U30,Transformer,0.9994108983799705,0.9902025713923234,0.009208326987647175
Allen VBN,524760,U30,Transformer,0.9988827272578561,0.9956655836104226,0.003217143647433529
Allen VBN,524761,U30,Transformer,0.9943629541652201,0.9769229870947826,0.01743996707043749
Allen VBN,527749,U30,Transformer,0.9993963993649462,0.9762881717465841,0.023108227618362065
Allen VBN,531237,U30,Transformer,0.9980727855223515,0.9529204046447539,0.04515238087759754
Allen VBN,544837,U30,Transformer,0.9998843262001156,0.9944822681407339,0.005402058059381654
Allen VBN,546507,U30,Transformer,0.9993354127168572,0.9853773639339746,0.013958048782882648
Allen VBN,563497,U30,Transformer,0.9990879796955279,0.9948680894553397,0.004219890240188207
Allen VBN,567286,U30,Transformer,0.9985473980734042,0.992545944621083,0.0060014534523211704
Allen VBN,570301,U30,Transformer,0.995630323226445,0.97976000341664,0.01587031980980491
Allen VBN,506940,SW-U30,Transformer,0.999327704108006,0.9602857425315736,0.03904196157643236
Allen VBN,510589,SW-U30,Transformer,0.9991466844761818,0.9916816772464745,0.007465007229707332
Allen VBN,521466,SW-U30,Transformer,0.9994108983799705,0.9902025713923234,0.009208326987647175
Allen VBN,524760,SW-U30,Transformer,0.9988827272578561,0.9956655836104226,0.003217143647433529
Allen VBN,524761,SW-U30,Transformer,0.9943629541652201,0.9769229870947826,0.01743996707043749
Allen VBN,527749,SW-U30,Transformer,0.9993963993649462,0.9762881717465841,0.023108227618362065
Allen VBN,531237,SW-U30,Transformer,0.9980727855223515,0.9529204046447539,0.04515238087759754
Allen VBN,544837,SW-U30,Transformer,0.9994216310005785,0.9881997344160094,0.011221896584569069
Allen VBN,546507,SW-U30,Transformer,0.9995951900422575,0.9885260440778592,0.011069145964398341
Allen VBN,563497,SW-U30,Transformer,0.9989211159002742,0.9935194461267839,0.005401669773490325
Allen VBN,567286,SW-U30,Transformer,0.9988002425740363,0.9925194720438515,0.0062807705301848316
Allen VBN,570301,SW-U30,Transformer,0.995246072217647,0.9852782305425976,0.009967841675049494
Allen VBN,506940,T5,Transformer,0.99689824647233,0.8658120350949421,0.13108621137738796
Allen VBN,510589,T5,Transformer,0.9992540553036824,0.9978323178616106,0.0014217374420717466
Allen VBN,521466,T5,Transformer,0.9992552883422183,0.9757638214512696,0.02349146689094872
Allen VBN,524760,T5,Transformer,0.999378056959644,0.9245889753518541,0.07478908160778985
Allen VBN,524761,T5,Transformer,0.9932315873323012,0.9621003941208612,0.031131193211439978
Allen VBN,527749,T5,Transformer,0.999256276289921,0.802068922668164,0.197187353621757
Allen VBN,531237,T5,Transformer,0.9975956306786893,0.9703707809885043,0.027224849690185016
Allen VBN,544837,T5,Transformer,0.9996729806071782,0.9650821904914595,0.03459079011571875
Allen VBN,546507,T5,Transformer,0.9984998491750199,0.9450472764773699,0.053452572697650025
Allen VBN,563497,T5,Transformer,0.9981425959613814,0.9612896483360962,0.03685294762528524
Allen VBN,567286,T5,Transformer,0.9988002425740363,0.9729661683911542,0.025834074182882083
Allen VBN,570301,T5,Transformer,0.9944137269418214,0.9006096527835536,0.09380407415826775
Allen VBN,506940,B5,Transformer,0.9988801379358148,0.8851592764494495,0.11372086148636529
Allen VBN,510589,B5,Transformer,0.9975833746090441,0.9475333575465813,0.050050017062462815
Allen VBN,521466,B5,Transformer,0.9970128187361282,0.9818828445719079,0.01512997416422035
Allen VBN,524760,B5,Transformer,0.9994192799070849,0.9952983707934351,0.004120909113649818
Allen VBN,524761,B5,Transformer,0.9912836884396283,0.9580982902147607,0.03318539822486766
Allen VBN,527749,B5,Transformer,0.9987375285658547,0.9626147251714514,0.036122803394403324
Allen VBN,531237,B5,Transformer,0.9980082025049268,0.9112218533010802,0.08678634920384665
Allen VBN,544837,B5,Transformer,0.9994465648360867,0.9929716507691717,0.006474914066915027
Allen VBN,546507,B5,Transformer,0.9994198694706308,0.9842319934212371,0.015187876049393645
Allen VBN,563497,B5,Transformer,0.9944543159925402,0.9866322316385336,0.007822084354006553
Allen VBN,567286,B5,Transformer,0.9914331245177144,0.9951913082419729,-0.0037581837242585125
Allen VBN,570301,B5,Transformer,0.9784703397979004,0.9568598234528469,0.02161051634505351
Allen VBN,506940,J30-5,Transformer,0.9991670690442666,0.950749739776487,0.04841732926777953
Allen VBN,510589,J30-5,Transformer,0.998898237271213,0.9446541616904011,0.0542440755808119
Allen VBN,521466,J30-5,Transformer,0.9987631845450068,0.933493930484595,0.06526925406041184
Allen VBN,524760,J30-5,Transformer,0.9986489211692924,0.9210298770577913,0.07761904411150111
Allen VBN,524761,J30-5,Transformer,0.9926806075035758,0.9146679374204041,0.0780126700831717
Allen VBN,527749,J30-5,Transformer,0.9981510096984479,0.7421166408754893,0.2560343688229586
Allen VBN,531237,J30-5,Transformer,0.9979740277071485,0.9365075321983245,0.06146649550882399
Allen VBN,544837,J30-5,Transformer,0.9989257931471295,0.9018109345012169,0.09711485864591263
Allen VBN,546507,J30-5,Transformer,0.9982916887277842,0.8787335925159443,0.11955809621183988
Allen VBN,563497,J30-5,Transformer,0.9980374609906668,0.9246865037506415,0.07335095724002527
Allen VBN,567286,J30-5,Transformer,0.998352571257627,0.9158471677062436,0.08250540355138336
Allen VBN,570301,J30-5,Transformer,0.9906297436546767,0.8470812166234774,0.14354852703119936
Allen VBN,506940,Five-Missing Mean,Transformer,0.9987201723336845,0.9244585072768052,0.07426166505687926
Allen VBN,510589,Five-Missing Mean,Transformer,0.9988058072272606,0.9746766383183084,0.024129168908952225
Allen VBN,521466,Five-Missing Mean,Transformer,0.998770617676659,0.9743091478584838,0.024461469818175208
Allen VBN,524760,Five-Missing Mean,Transformer,0.9990423425103467,0.966449678084785,0.032592664425561746
Allen VBN,524761,Five-Missing Mean,Transformer,0.993184358321189,0.9577425191891182,0.035441839132070774
Allen VBN,527749,Five-Missing Mean,Transformer,0.9989875226568232,0.8918753264416546,0.10711219621516865
Allen VBN,531237,Five-Missing Mean,Transformer,0.9979446863870935,0.9447881951554834,0.05315649123161015
Allen VBN,544837,Five-Missing Mean,Transformer,0.9994702591582177,0.9685093556637183,0.030960903494499425
Allen VBN,546507,Five-Missing Mean,Transformer,0.9990284020265099,0.956383254085277,0.042645147941232864
Allen VBN,563497,Five-Missing Mean,Transformer,0.997728693708078,0.972199183861479,0.025529509846599074
Allen VBN,567286,Five-Missing Mean,Transformer,0.9971867157993636,0.9738140122008611,0.02337270359850252
Allen VBN,570301,Five-Missing Mean,Transformer,0.9908780411676981,0.9339177853638232,0.05696025580387487
Allen VBN,506940,Five-Missing Worst,Transformer,0.99689824647233,0.854159879962906,0.14273836650942406
Allen VBN,510589,Five-Missing Worst,Transformer,0.9975833746090441,0.9351813736479517,0.062402000961092385
Allen VBN,521466,Five-Missing Worst,Transformer,0.9970128187361282,0.933493930484595,0.06351888825153329
Allen VBN,524760,Five-Missing Worst,Transformer,0.9986489211692924,0.9141456244507875,0.08450329671850487
Allen VBN,524761,Five-Missing Worst,Transformer,0.9912836884396283,0.8932750813679486,0.09800860707167969
Allen VBN,527749,Five-Missing Worst,Transformer,0.9981510096984479,0.7421166408754893,0.2560343688229586
Allen VBN,531237,Five-Missing Worst,Transformer,0.9975956306786893,0.9076028597033708,0.08999277097531844
Allen VBN,544837,Five-Missing Worst,Transformer,0.9989257931471295,0.9018109345012169,0.09711485864591263
Allen VBN,546507,Five-Missing Worst,Transformer,0.9982916887277842,0.8787335925159443,0.11955809621183988
Allen VBN,563497,Five-Missing Worst,Transformer,0.9944543159925402,0.9246865037506415,0.06976781224189865
Allen VBN,567286,Five-Missing Worst,Transformer,0.9914331245177144,0.9158471677062436,0.07558595681147073
Allen VBN,570301,Five-Missing Worst,Transformer,0.9784703397979004,0.8470812166234774,0.13138912317442308
CRCNS pvc-11,monkey1,CLEAN,SVM,0.9785714285714284,0.7464285714285714,0.23214285714285698
CRCNS pvc-11,monkey2,CLEAN,SVM,0.9964285714285712,0.8571428571428571,0.13928571428571412
CRCNS pvc-11,monkey3,CLEAN,SVM,0.9964285714285712,0.9232142857142858,0.07321428571428545
CRCNS pvc-11,monkey1,U30,SVM,0.9528571428571426,0.6321428571428571,0.3207142857142855
CRCNS pvc-11,monkey2,U30,SVM,0.9764285714285714,0.6860714285714286,0.29035714285714287
CRCNS pvc-11,monkey3,U30,SVM,0.997142857142857,0.8085714285714286,0.1885714285714284
CRCNS pvc-11,monkey1,SW-U30,SVM,0.9528571428571426,0.6321428571428571,0.3207142857142855
CRCNS pvc-11,monkey2,SW-U30,SVM,0.9764285714285714,0.6860714285714286,0.29035714285714287
